k_base,mag2,is_kmax,is_kfp,in_noise_win,thr
2.050000000000000000e+01,1.261424456147077100e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.062500000000000000e+01,3.014513697093423740e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.075000000000000000e+01,1.686540624267111258e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.087500000000000000e+01,4.414112910033835835e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.100000000000000000e+01,8.498550243564898413e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.112500000000000000e+01,1.382705222369465272e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.125000000000000000e+01,2.015827725960599994e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.137500000000000000e+01,2.713133296495084308e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.150000000000000000e+01,3.428683806740005389e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.162500000000000000e+01,4.110017192303556423e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.175000000000000000e+01,4.702578355092784017e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.187500000000000000e+01,5.155049067746227039e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.200000000000000000e+01,5.425226141844585211e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.212500000000000000e+01,5.485836756791763355e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.225000000000000000e+01,5.329342368145143996e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.237500000000000000e+01,4.970540420870535163e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.250000000000000000e+01,4.445857737783044916e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.262500000000000000e+01,3.808789587082937365e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.275000000000000000e+01,3.121911912312186246e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.287500000000000000e+01,2.446979494238140409e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.300000000000000000e+01,1.835384710022963794e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.312500000000000000e+01,1.321320277206286368e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.325000000000000000e+01,9.192534879168427073e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.337500000000000000e+01,6.260075770658625276e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.350000000000000000e+01,4.263452887444363451e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.362500000000000000e+01,2.999944908362797047e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
2.375000000000000000e+01,2.278872210242982512e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714775706850565418e-04
